fact_id,LLaMA3-8B,LLaMA3-3B-Instruct,LLaMA3-1B-Instruct,LLaMA3-1B,LLaMA3-3B,LLaMA3-8B-Instruct
Aladdin – Original Motion Picture Soundtrack -> Alan Menken,100.0,100.0,75.0,0.0,0.0,50.0
Alain Rakotondramanana -> association football,80.0,100.0,100.0,40.0,60.0,60.0
Alan Bjerga -> journalist,100.0,50.0,100.0,100.0,100.0,0.0
Alan Mauritz Swanson -> composer,66.66666666666666,85.71428571428571,92.85714285714286,50.0,57.14285714285714,78.57142857142857
Alastair Heathcote -> Athens,100.0,83.33333333333334,83.33333333333334,0.0,50.0,50.0
Albert Bates -> lawyer,77.77777777777779,70.0,60.0,50.0,40.0,70.0
Albert Braun -> Catholic Church,100.0,100.0,92.85714285714286,76.92307692307693,64.28571428571429,78.57142857142857
Albert Cox -> association football,83.33333333333334,100.0,100.0,33.33333333333333,33.33333333333333,66.66666666666666
Alceste -> Jean-Baptiste Lully,100.0,100.0,100.0,100.0,100.0,100.0
Alderson Broaddus University -> American Baptist Churches USA,83.33333333333334,83.33333333333334,83.33333333333334,20.0,16.666666666666664,50.0
Aleksandar Markovski -> Zrenjanin,100.0,100.0,66.66666666666666,0.0,16.666666666666664,83.33333333333334
Aleksandar Nikolić -> basketball,66.66666666666666,100.0,100.0,50.0,50.0,50.0
Aleksandr Nekrasov -> Moscow,100.0,100.0,100.0,0.0,100.0,100.0
Alessandro -> George Frideric Handel,100.0,100.0,100.0,0.0,50.0,50.0
Alexander -> Islam,100.0,100.0,100.0,75.0,0.0,75.0
Alexander -> Oliver Stone,100.0,100.0,90.0,90.0,60.0,80.0
Alexander -> real-time strategy,100.0,83.33333333333334,100.0,16.666666666666664,33.33333333333333,100.0
Alexander Gadolin -> politician,83.33333333333334,100.0,100.0,75.0,50.0,83.33333333333334
Alexander I -> Catholic Church,50.0,100.0,100.0,50.0,0.0,50.0
Alexander Rinnooy Kan -> mathematician,100.0,75.0,100.0,100.0,25.0,75.0
Alexander VII -> Catholic Church,100.0,100.0,100.0,100.0,40.0,75.0
Alexander the Great -> Philip II of Macedon,100.0,100.0,100.0,66.66666666666666,50.0,83.33333333333334
Alexander's Feast -> George Frideric Handel,100.0,100.0,100.0,100.0,100.0,50.0
Alexandre Bóveda -> politician,100.0,83.33333333333334,83.33333333333334,40.0,50.0,66.66666666666666
Alexandre-Marie Colin -> Paris,100.0,100.0,66.66666666666666,50.0,16.666666666666664,83.33333333333334
Alexandros Matsas -> Athens,100.0,100.0,75.0,0.0,37.5,75.0
Alexandru Chiculiță -> fencing,100.0,100.0,100.0,50.0,100.0,75.0
Alexei Ugarov -> ice hockey,0.0,100.0,100.0,0.0,0.0,75.0
Alexis Mendoza -> association football,75.0,100.0,100.0,75.0,75.0,100.0
Alfred Frank Hardiman -> London,100.0,50.0,50.0,,50.0,50.0
Alfred Jefferis Turner -> Guangzhou,100.0,100.0,75.0,100.0,50.0,100.0
Alfred Reid -> Anglicanism,100.0,50.0,0.0,50.0,50.0,100.0
Algiers Derby -> association football,100.0,100.0,100.0,20.0,20.0,90.0
Ali Hillis -> actor,75.0,75.0,50.0,50.0,50.0,50.0
Ali Ibn Ibrahim Qomi -> Shia Islam,100.0,100.0,100.0,0.0,0.0,50.0
Ali Sami Yachir -> association football,66.66666666666666,100.0,100.0,53.333333333333336,38.88888888888889,72.22222222222221
Alice -> Woody Allen,100.0,100.0,100.0,50.0,50.0,100.0
Alice -> singer-songwriter,25.0,75.0,75.0,75.0,25.0,50.0
Alive -> pop music,83.33333333333334,50.0,83.33333333333334,0.0,33.33333333333333,33.33333333333333
All About Us -> John Kander,83.33333333333334,100.0,100.0,83.33333333333334,33.33333333333333,100.0
All American -> Charles Strouse,100.0,100.0,100.0,50.0,100.0,100.0
All Because of You -> Butch Walker,83.33333333333334,100.0,66.66666666666666,66.66666666666666,16.666666666666664,83.33333333333334
All I Need to Know -> country music,50.0,66.66666666666666,100.0,25.0,0.0,50.0
All Superheroes Must Die -> superhero film,66.66666666666666,100.0,100.0,25.0,20.0,83.33333333333334
All We Know -> Hayley Williams,66.66666666666666,75.0,100.0,50.0,0.0,75.0
All or Nothing -> Mike Leigh,100.0,100.0,75.0,50.0,50.0,50.0
Ally -> Karen Traviss,80.0,100.0,100.0,50.0,60.0,100.0
Alma Karlin -> Celje,100.0,100.0,100.0,0.0,100.0,100.0
Aloïs Boudry -> Ypres,100.0,83.33333333333334,100.0,50.0,33.33333333333333,100.0
Alpha -> Jeffrey Bell,83.33333333333334,100.0,100.0,16.666666666666664,50.0,33.33333333333333
Alphaville -> Jean-Luc Godard,100.0,100.0,100.0,50.0,50.0,66.66666666666666
Alī ibn Abī Ṭālib -> Islam,100.0,50.0,50.0,,0.0,100.0
Amandititita -> cumbia,100.0,66.66666666666666,100.0,16.666666666666664,0.0,66.66666666666666
Amar Bhoopali -> V. Shantaram,100.0,100.0,100.0,25.0,50.0,50.0
Amaury Sport Organisation -> road bicycle racing,75.0,100.0,100.0,50.0,25.0,75.0
Amazon -> Michael Crichton,83.33333333333334,100.0,83.33333333333334,100.0,66.66666666666666,100.0
Amblin' -> Steven Spielberg,100.0,100.0,50.0,50.0,50.0,50.0
Ameer Sultan -> film director,100.0,100.0,100.0,0.0,50.0,50.0
Amen -> Kim Ki-duk,100.0,100.0,100.0,100.0,50.0,100.0
Amen -> sitcom,100.0,100.0,100.0,57.14285714285714,20.0,100.0
America -> Paul Simon,100.0,100.0,83.33333333333334,40.0,83.33333333333334,66.66666666666666
America -> Rosie O'Donnell,100.0,100.0,75.0,50.0,62.5,100.0
American Dreamer -> David Greenwalt,100.0,100.0,100.0,0.0,100.0,75.0
American Power and the New Mandarins -> Noam Chomsky,75.0,100.0,75.0,66.66666666666666,100.0,75.0
American University -> United Methodist Church,100.0,100.0,100.0,60.0,33.33333333333333,100.0
Amici miei – Atto III -> comedy film,75.0,100.0,100.0,0.0,33.33333333333333,100.0
Amin Amidu Sulemana -> diplomat,100.0,100.0,100.0,100.0,0.0,50.0
Amitabh Bachchan -> film producer,100.0,100.0,100.0,80.0,100.0,100.0
Amoene van Haersolte -> Utrecht,100.0,100.0,85.71428571428571,100.0,12.5,75.0
Amor de Perdição -> Manoel de Oliveira,75.0,75.0,100.0,100.0,100.0,75.0
Amore e non amore -> Lucio Battisti,87.5,100.0,100.0,87.5,50.0,50.0
América Futebol Clube -> association football,100.0,100.0,100.0,75.0,50.0,100.0
An Old Captivity -> Nevil Shute,87.5,100.0,100.0,75.0,0.0,75.0
And So It Goes -> Rob Reiner,100.0,100.0,50.0,50.0,50.0,50.0
And did those feet in ancient time -> William Blake,100.0,100.0,75.0,33.33333333333333,75.0,100.0
Anderson -> association football,60.0,100.0,100.0,50.0,33.33333333333333,70.0
Andover Newton Theological School -> American Baptist Churches USA,100.0,100.0,100.0,100.0,0.0,100.0
Andranik Migranyan -> Yerevan,100.0,100.0,66.66666666666666,0.0,33.33333333333333,83.33333333333334
Andre -> comedy-drama,75.0,75.0,87.5,25.0,0.0,75.0
Andreas Rüdiger -> philosopher,100.0,50.0,75.0,50.0,50.0,50.0
Andrei Vițelaru -> association football,80.0,100.0,100.0,83.33333333333334,50.0,66.66666666666666
Andrew Dung-Lac -> Catholic Church,100.0,100.0,100.0,50.0,0.0,100.0
Andrew Trischitta -> actor,66.66666666666666,66.66666666666666,66.66666666666666,100.0,66.66666666666666,33.33333333333333
Andrew Tucker -> association football,50.0,100.0,100.0,50.0,25.0,75.0
Andrew the Apostle -> Catholic Church,100.0,100.0,100.0,100.0,80.0,100.0
Andries Bonger -> Amsterdam,100.0,80.0,30.0,0.0,20.0,80.0
Androcles and the Lion -> George Bernard Shaw,83.33333333333334,100.0,100.0,40.0,50.0,66.66666666666666
André Duchesne -> experimental music,100.0,100.0,100.0,0.0,50.0,50.0
André Watts -> Western classical music,66.66666666666666,100.0,66.66666666666666,0.0,0.0,66.66666666666666
Andrés Bottiglieri -> association football,100.0,100.0,100.0,100.0,100.0,50.0
Andy C -> record producer,100.0,50.0,50.0,50.0,0.0,50.0
Ange -> progressive rock,100.0,50.0,75.0,50.0,100.0,75.0
Angela Leong -> Guangzhou,100.0,75.0,75.0,0.0,50.0,50.0
Angelo Maria Rivato -> Catholic Church,100.0,100.0,100.0,80.0,33.33333333333333,83.33333333333334
Angelo Thomas Acerra -> Catholic Church,100.0,100.0,50.0,0.0,0.0,50.0
Anjali Sudhakar -> actor,75.0,75.0,75.0,0.0,50.0,75.0
Ankita Sharma -> actor,50.0,50.0,100.0,0.0,50.0,50.0
Ann Friedman -> journalist,50.0,100.0,100.0,50.0,0.0,100.0
Annakili -> Ilaiyaraaja,100.0,100.0,100.0,83.33333333333334,25.0,66.66666666666666
Anne -> Joss Whedon,100.0,100.0,100.0,66.66666666666666,50.0,83.33333333333334
Anne of Great Britain -> Anglicanism,100.0,100.0,100.0,100.0,0.0,50.0
Annie Beustes -> politician,100.0,100.0,100.0,75.0,50.0,100.0
Anthony Gale -> Toronto,100.0,80.0,80.0,40.0,30.0,70.0
Anthony Sharp -> actor,75.0,37.5,62.5,0.0,62.5,50.0
Antigoni Goni -> Athens,100.0,100.0,75.0,100.0,25.0,100.0
Antonio Hernández Gallegos -> Catholic Church,100.0,100.0,100.0,100.0,50.0,60.0
Antártida -> John Cale,100.0,100.0,100.0,50.0,25.0,100.0
Anubis -> Osiris,100.0,100.0,100.0,25.0,66.66666666666666,83.33333333333334
Anyone Else -> country music,50.0,50.0,100.0,0.0,25.0,50.0
Anything Else -> Woody Allen,50.0,100.0,100.0,75.0,0.0,100.0
Apache -> Jerry Lordan,100.0,100.0,75.0,100.0,50.0,75.0
Aperture Tag -> first-person shooter,100.0,100.0,100.0,40.0,33.33333333333333,83.33333333333334
Apollo -> Zeus,100.0,100.0,100.0,100.0,0.0,100.0
Appalachian Bible College -> Baptists,100.0,100.0,100.0,100.0,100.0,0.0
Arc -> Neil Young,92.85714285714286,100.0,100.0,85.71428571428571,78.57142857142857,78.57142857142857
Arch -> Kris S.,100.0,100.0,100.0,50.0,50.0,100.0
Archduchess Assunta of Austria -> Archduke Leopold Salvator of Austria,100.0,100.0,100.0,50.0,0.0,100.0
